#tstp   Ax    Ay
790  -2.41469  -2.41469
791  -2.41738  -2.41738
792  -2.41965  -2.41965
793  -2.42151  -2.42151
794  -2.42296  -2.42296
795  -2.424  -2.424
796  -2.42463  -2.42463
797  -2.42485  -2.42485
798  -2.42468  -2.42468
799  -2.42411  -2.42411
800  -2.42314  -2.42314
801  -2.42178  -2.42178
802  -2.42004  -2.42004
803  -2.4179  -2.4179
804  -2.41539  -2.41539
805  -2.4125  -2.4125
806  -2.40924  -2.40924
807  -2.4056  -2.4056
808  -2.4016  -2.4016
809  -2.39723  -2.39723
810  -2.39251  -2.39251
811  -2.38743  -2.38743
812  -2.38201  -2.38201
813  -2.37623  -2.37623
814  -2.37012  -2.37012
815  -2.36366  -2.36366
816  -2.35688  -2.35688
817  -2.34976  -2.34976
818  -2.34232  -2.34232
819  -2.33456  -2.33456
820  -2.32649  -2.32649
821  -2.31811  -2.31811
822  -2.30942  -2.30942
823  -2.30043  -2.30043
824  -2.29115  -2.29115
825  -2.28157  -2.28157
826  -2.27171  -2.27171
827  -2.26157  -2.26157
828  -2.25115  -2.25115
829  -2.24046  -2.24046
830  -2.22951  -2.22951
831  -2.21829  -2.21829
832  -2.20683  -2.20683
833  -2.19511  -2.19511
834  -2.18314  -2.18314
835  -2.17094  -2.17094
836  -2.1585  -2.1585
837  -2.14584  -2.14584
838  -2.13295  -2.13295
839  -2.11984  -2.11984
840  -2.10652  -2.10652
841  -2.09299  -2.09299
842  -2.07926  -2.07926
843  -2.06533  -2.06533
844  -2.05121  -2.05121
845  -2.03691  -2.03691
846  -2.02242  -2.02242
847  -2.00776  -2.00776
848  -1.99293  -1.99293
849  -1.97794  -1.97794
850  -1.96279  -1.96279
851  -1.94748  -1.94748
852  -1.93202  -1.93202
853  -1.91642  -1.91642
854  -1.90069  -1.90069
855  -1.88482  -1.88482
856  -1.86882  -1.86882
857  -1.8527  -1.8527
858  -1.83647  -1.83647
859  -1.82012  -1.82012
860  -1.80367  -1.80367
861  -1.78712  -1.78712
862  -1.77047  -1.77047
863  -1.75373  -1.75373
864  -1.73691  -1.73691
865  -1.72  -1.72
866  -1.70302  -1.70302
867  -1.68597  -1.68597
868  -1.66885  -1.66885
869  -1.65168  -1.65168
870  -1.63444  -1.63444
871  -1.61716  -1.61716
872  -1.59983  -1.59983
873  -1.58246  -1.58246
874  -1.56505  -1.56505
875  -1.54761  -1.54761
876  -1.53015  -1.53015
877  -1.51266  -1.51266
